Source,Target,Type,Weight,Label
13839,20951,Undirected,1,1
13839,3557,Undirected,1,2
13839,5387,Undirected,1,3
13839,1813,Undirected,1,4
13839,26553,Undirected,1,5
13839,8828,Undirected,1,6
13839,17744,Undirected,2,7
13839,5733,Undirected,2,8
13839,1694,Undirected,1,9
13839,307,Undirected,1,10
13839,5344,Undirected,1,11
13839,8039,Undirected,1,12
13839,2291,Undirected,1,13
13839,6598,Undirected,1,14
20951,3557,Undirected,1,15
20951,23509,Undirected,1,16
20951,25931,Undirected,3,17
20951,31073,Undirected,1,18
20951,328,Undirected,1,19
20951,4761,Undirected,1,20
20951,5146,Undirected,1,21
20951,29676,Undirected,1,22
20951,29677,Undirected,1,23
20951,22013,Undirected,1,24
20951,22870,Undirected,1,25
20951,25482,Undirected,1,26
20951,25676,Undirected,1,27
20951,27045,Undirected,1,28
20951,2282,Undirected,1,29
20951,22127,Undirected,1,30
20951,24187,Undirected,1,31
20951,2814,Undirected,1,32
20951,4903,Undirected,1,33
20951,21771,Undirected,1,34
20951,21772,Undirected,1,35
20951,20952,Undirected,1,36
20951,3254,Undirected,1,37
26959,28508,Undirected,2,38
26959,28753,Undirected,2,39
26959,36197,Undirected,1,40
26959,36198,Undirected,1,41
26959,36199,Undirected,1,42
26959,36200,Undirected,1,43
26959,4488,Undirected,2,44
26959,28488,Undirected,2,45
26959,28608,Undirected,1,46
26959,28888,Undirected,2,47
26959,29080,Undirected,1,48
26959,29418,Undirected,1,49
26959,35806,Undirected,1,50
26959,35807,Undirected,1,51
26959,35808,Undirected,1,52
26959,28887,Undirected,2,53
26959,30180,Undirected,1,54
26959,30181,Undirected,1,55
26959,28483,Undirected,1,56
26959,29987,Undirected,1,57
26959,28329,Undirected,1,58
26959,28895,Undirected,1,59
26959,5161,Undirected,1,60
26959,5047,Undirected,1,61
26959,7612,Undirected,1,62
28508,28753,Undirected,1,63
28508,36197,Undirected,1,64
28508,36198,Undirected,1,65
28508,36199,Undirected,1,66
28508,36200,Undirected,1,67
28508,4488,Undirected,1,68
28508,28618,Undirected,1,69
28508,35788,Undirected,1,70
28508,35794,Undirected,1,71
28508,35795,Undirected,1,72
28508,35796,Undirected,1,73
28508,35797,Undirected,1,74
28508,35798,Undirected,1,75
28508,35799,Undirected,1,76
28508,28739,Undirected,1,77
28508,5161,Undirected,1,78
28508,28530,Undirected,1,79
28508,790,Undirected,1,80
28508,28509,Undirected,1,81
28508,7612,Undirected,1,82
28753,36197,Undirected,1,83
28753,36198,Undirected,1,84
28753,36199,Undirected,1,85
28753,36200,Undirected,1,86
28753,4488,Undirected,1,87
28753,35787,Undirected,1,88
28753,35831,Undirected,1,89
28753,35832,Undirected,1,90
28753,29319,Undirected,1,91
28753,29365,Undirected,1,92
28753,28887,Undirected,1,93
28753,5161,Undirected,1,94
28753,5624,Undirected,1,95
36197,36198,Undirected,1,96
36197,36199,Undirected,1,97
36197,36200,Undirected,1,98
36197,4488,Undirected,1,99
36198,36199,Undirected,1,100
36198,36200,Undirected,1,101
36198,4488,Undirected,1,102
36199,36200,Undirected,1,103
36199,4488,Undirected,1,104
36200,4488,Undirected,1,105
28488,28503,Undirected,1,106
28488,28668,Undirected,1,107
28488,35778,Undirected,3,108
28488,36195,Undirected,1,109
28488,36196,Undirected,1,110
28488,4488,Undirected,2,111
28488,28500,Undirected,2,112
28488,28887,Undirected,2,113
28488,28793,Undirected,1,114
28488,28867,Undirected,1,115
28488,29174,Undirected,1,116
28488,29379,Undirected,1,117
28488,35909,Undirected,1,118
28488,35910,Undirected,1,119
28488,35911,Undirected,1,120
28488,35912,Undirected,1,121
28488,35913,Undirected,1,122
28488,35914,Undirected,1,123
28488,35915,Undirected,1,124
28488,35916,Undirected,1,125
28488,35917,Undirected,1,126
28488,28548,Undirected,1,127
28488,28629,Undirected,2,128
28488,28804,Undirected,1,129
28488,29132,Undirected,1,130
28488,29139,Undirected,1,131
28488,29418,Undirected,3,132
28488,30139,Undirected,1,133
28488,35839,Undirected,2,134
28488,35842,Undirected,2,135
28488,35861,Undirected,1,136
28488,35862,Undirected,1,137
28488,35863,Undirected,1,138
28488,35864,Undirected,1,139
28488,35865,Undirected,1,140
28488,35866,Undirected,1,141
28488,35867,Undirected,1,142
28488,35868,Undirected,1,143
28488,35869,Undirected,1,144
28488,35870,Undirected,1,145
28488,35871,Undirected,1,146
28488,35872,Undirected,1,147
28488,35873,Undirected,1,148
28488,35874,Undirected,1,149
28488,35875,Undirected,1,150
28488,35876,Undirected,1,151
28488,35877,Undirected,1,152
28488,35878,Undirected,1,153
28488,35879,Undirected,1,154
28488,35880,Undirected,1,155
28488,35881,Undirected,1,156
28488,35882,Undirected,1,157
28488,35883,Undirected,1,158
28488,35884,Undirected,1,159
28488,35885,Undirected,1,160
28488,35886,Undirected,1,161
28488,35887,Undirected,1,162
28488,35888,Undirected,1,163
28488,35889,Undirected,1,164
28488,35890,Undirected,1,165
28488,35891,Undirected,1,166
28488,35892,Undirected,1,167
28488,35893,Undirected,1,168
28488,35894,Undirected,1,169
28488,35895,Undirected,1,170
28488,35896,Undirected,1,171
28488,35897,Undirected,1,172
28488,35898,Undirected,1,173
28488,35899,Undirected,1,174
28488,35900,Undirected,1,175
28488,35901,Undirected,1,176
28488,35902,Undirected,1,177
28488,7053,Undirected,1,178
28488,7826,Undirected,1,179
28488,28732,Undirected,1,180
28488,28935,Undirected,1,181
28488,29360,Undirected,1,182
28488,35838,Undirected,1,183
28488,35840,Undirected,1,184
28488,35841,Undirected,1,185
28488,35843,Undirected,1,186
28488,35844,Undirected,1,187
28488,35845,Undirected,1,188
28488,35846,Undirected,1,189
28488,35847,Undirected,1,190
28488,35848,Undirected,1,191
28488,35849,Undirected,1,192
28488,35850,Undirected,1,193
28488,35851,Undirected,1,194
28488,35852,Undirected,1,195
28488,35853,Undirected,1,196
28488,35854,Undirected,1,197
28488,35855,Undirected,1,198
28488,35856,Undirected,1,199
28488,35857,Undirected,1,200
28488,790,Undirected,1,201
28488,28753,Undirected,1,202
28488,35787,Undirected,2,203
28488,35831,Undirected,1,204
28488,35832,Undirected,1,205
28488,28574,Undirected,3,206
28488,29014,Undirected,1,207
28488,35829,Undirected,1,208
28488,35830,Undirected,1,209
28488,28912,Undirected,1,210
28488,29579,Undirected,2,211
28488,35796,Undirected,2,212
28488,35815,Undirected,1,213
28488,35816,Undirected,1,214
28488,35817,Undirected,1,215
28488,35818,Undirected,1,216
28488,35819,Undirected,1,217
28488,35820,Undirected,1,218
28488,35821,Undirected,1,219
28488,35822,Undirected,1,220
28488,35823,Undirected,1,221
28488,35824,Undirected,1,222
28488,35825,Undirected,1,223
28488,35826,Undirected,1,224
28488,28608,Undirected,1,225
28488,28888,Undirected,1,226
28488,29080,Undirected,1,227
28488,35806,Undirected,1,228
28488,35807,Undirected,1,229
28488,35808,Undirected,1,230
28488,28508,Undirected,1,231
28488,28618,Undirected,3,232
28488,35788,Undirected,2,233
28488,35794,Undirected,1,234
28488,35795,Undirected,1,235
28488,35797,Undirected,1,236
28488,35798,Undirected,1,237
28488,35799,Undirected,1,238
28488,35786,Undirected,1,239
28488,35789,Undirected,1,240
28488,35790,Undirected,1,241
28488,35791,Undirected,1,242
28488,28558,Undirected,1,243
28488,28904,Undirected,1,244
28488,35779,Undirected,1,245
28488,35780,Undirected,1,246
28488,35781,Undirected,1,247
28488,35782,Undirected,1,248
28488,35783,Undirected,1,249
28488,28523,Undirected,1,250
28488,35775,Undirected,1,251
28488,35770,Undirected,1,252
28488,35771,Undirected,1,253
28488,35772,Undirected,1,254
28488,35773,Undirected,1,255
28488,30180,Undirected,1,256
28488,30181,Undirected,1,257
28488,28489,Undirected,1,258
28488,28490,Undirected,1,259
28503,28668,Undirected,1,260
28503,35778,Undirected,1,261
28503,36195,Undirected,1,262
28503,36196,Undirected,1,263
28503,4488,Undirected,1,264
28503,29401,Undirected,1,265
28503,29379,Undirected,1,266
28503,2991,Undirected,1,267
28503,28922,Undirected,2,268
28503,28862,Undirected,1,269
28503,29059,Undirected,1,270
28503,29057,Undirected,1,271
28503,28558,Undirected,1,272
28503,28718,Undirected,1,273
28503,790,Undirected,1,274
28668,35778,Undirected,1,275
28668,36195,Undirected,1,276
28668,36196,Undirected,1,277
28668,4488,Undirected,1,278
28668,29034,Undirected,1,279
28668,566,Undirected,1,280
35778,36195,Undirected,1,281
35778,36196,Undirected,1,282
35778,4488,Undirected,1,283
35778,35829,Undirected,1,284
35778,35830,Undirected,1,285
35778,35779,Undirected,1,286
35778,35780,Undirected,1,287
35778,35781,Undirected,1,288
35778,35782,Undirected,1,289
35778,35783,Undirected,1,290
36195,36196,Undirected,1,291
36195,4488,Undirected,1,292
36196,4488,Undirected,1,293
36190,36191,Undirected,1,294
36190,36192,Undirected,1,295
36190,36193,Undirected,1,296
36191,36192,Undirected,1,297
36191,36193,Undirected,1,298
36192,36193,Undirected,1,299
20382,25867,Undirected,1,300
20382,36176,Undirected,1,301
20382,36177,Undirected,1,302
20382,36178,Undirected,1,303
20382,26394,Undirected,1,304
20382,33407,Undirected,1,305
20382,34291,Undirected,1,306
20382,27482,Undirected,1,307
20382,28236,Undirected,1,308
20382,33177,Undirected,1,309
20382,20951,Undirected,1,310
20382,4761,Undirected,1,311
20382,5146,Undirected,1,312
20382,26780,Undirected,1,313
20382,26781,Undirected,1,314
20382,20383,Undirected,1,315
25867,36176,Undirected,1,316
25867,36177,Undirected,1,317
25867,36178,Undirected,1,318
36176,36177,Undirected,1,319
36176,36178,Undirected,1,320
36177,36178,Undirected,1,321
28500,28887,Undirected,1,322
28500,28629,Undirected,1,323
28500,28732,Undirected,1,324
28500,28935,Undirected,1,325
28500,29360,Undirected,1,326
28500,29418,Undirected,1,327
28500,35838,Undirected,1,328
28500,35839,Undirected,1,329
28500,35840,Undirected,1,330
28500,35841,Undirected,1,331
28500,35842,Undirected,1,332
28500,35843,Undirected,1,333
28500,35844,Undirected,1,334
28500,35845,Undirected,1,335
28500,35846,Undirected,1,336
28500,35847,Undirected,1,337
28500,35848,Undirected,1,338
28500,35849,Undirected,1,339
28500,35850,Undirected,1,340
28500,35851,Undirected,1,341
28500,35852,Undirected,1,342
28500,35853,Undirected,1,343
28500,35854,Undirected,1,344
28500,35855,Undirected,1,345
28500,35856,Undirected,1,346
28500,35857,Undirected,1,347
28500,790,Undirected,2,348
28500,28585,Undirected,1,349
28500,29108,Undirected,1,350
28500,28554,Undirected,1,351
28500,28562,Undirected,1,352
28500,28503,Undirected,1,353
28500,28574,Undirected,1,354
28500,28576,Undirected,1,355
28500,7612,Undirected,1,356
2920,32275,Undirected,1,357
2920,36141,Undirected,1,358
2920,36142,Undirected,1,359
2920,9985,Undirected,1,360
2920,33592,Undirected,1,361
2920,34029,Undirected,1,362
2920,860,Undirected,1,363
2920,8777,Undirected,1,364
2920,5323,Undirected,1,365
2920,2921,Undirected,1,366
32275,36141,Undirected,1,367
32275,36142,Undirected,1,368
32275,9985,Undirected,1,369
36141,36142,Undirected,1,370
36141,9985,Undirected,1,371
36142,9985,Undirected,1,372
36133,36134,Undirected,1,373
36133,36135,Undirected,1,374
36133,36136,Undirected,1,375
36133,36137,Undirected,1,376
36133,36138,Undirected,1,377
36134,36135,Undirected,1,378
36134,36136,Undirected,1,379
36134,36137,Undirected,1,380
36134,36138,Undirected,1,381
36135,36136,Undirected,1,382
36135,36137,Undirected,1,383
36135,36138,Undirected,1,384
36136,36137,Undirected,1,385
36136,36138,Undirected,1,386
36137,36138,Undirected,1,387
20069,25537,Undirected,2,388
20069,36129,Undirected,1,389
20069,36130,Undirected,1,390
20069,36131,Undirected,1,391
20069,36132,Undirected,1,392
20069,5622,Undirected,1,393
20069,8823,Undirected,1,394
20069,20675,Undirected,1,395
20069,9856,Undirected,1,396
20069,20070,Undirected,1,397
25537,36129,Undirected,1,398
25537,36130,Undirected,1,399
25537,36131,Undirected,1,400
25537,36132,Undirected,1,401
25537,8823,Undirected,1,402
36129,36130,Undirected,1,403
36129,36131,Undirected,1,404
36129,36132,Undirected,1,405
36130,36131,Undirected,1,406
36130,36132,Undirected,1,407
36131,36132,Undirected,1,408
36123,36124,Undirected,1,409
36123,36125,Undirected,1,410
36124,36125,Undirected,1,411
11823,36114,Undirected,1,412
11823,36115,Undirected,1,413
11823,36116,Undirected,1,414
11823,11825,Undirected,1,415
11823,11826,Undirected,1,416
11823,11827,Undirected,1,417
11823,13145,Undirected,1,418
11823,13622,Undirected,1,419
11823,13623,Undirected,1,420
11823,2094,Undirected,1,421
11823,37,Undirected,1,422
11823,553,Undirected,1,423
36114,36115,Undirected,1,424
36114,36116,Undirected,1,425
36115,36116,Undirected,1,426
1088,1217,Undirected,1,427
1088,13777,Undirected,1,428
1088,19401,Undirected,1,429
1088,7738,Undirected,1,430
1088,8156,Undirected,1,431
1088,8852,Undirected,1,432
1088,35358,Undirected,1,433
1088,16235,Undirected,1,434
1088,17692,Undirected,1,435
1088,2928,Undirected,2,436
1088,32377,Undirected,1,437
1088,33150,Undirected,1,438
1088,3557,Undirected,1,439
1088,3851,Undirected,1,440
1088,5859,Undirected,1,441
1088,13148,Undirected,1,442
1088,177,Undirected,1,443
1088,3792,Undirected,1,444
1088,13908,Undirected,1,445
1088,34836,Undirected,1,446
1088,9616,Undirected,1,447
1088,27267,Undirected,1,448
1088,32289,Undirected,1,449
1088,30750,Undirected,1,450
1088,901,Undirected,1,451
1088,128,Undirected,1,452
1088,29804,Undirected,1,453
1088,8982,Undirected,1,454
1088,5620,Undirected,1,455
1088,944,Undirected,1,456
1088,1173,Undirected,1,457
1088,15926,Undirected,1,458
1088,6323,Undirected,1,459
1088,22548,Undirected,1,460
1088,4060,Undirected,1,461
1088,1103,Undirected,1,462
1088,3273,Undirected,1,463
1088,3466,Undirected,1,464
1088,510,Undirected,1,465
1088,5387,Undirected,1,466
1088,7085,Undirected,1,467
1088,1104,Undirected,1,468
1088,1412,Undirected,1,469
1088,1659,Undirected,1,470
1088,5714,Undirected,1,471
1088,603,Undirected,1,472
1088,8765,Undirected,1,473
1088,1243,Undirected,1,474
1088,1265,Undirected,1,475
1088,13399,Undirected,1,476
1088,360,Undirected,1,477
1088,385,Undirected,1,478
1088,3368,Undirected,1,479
1088,386,Undirected,2,480
1088,4829,Undirected,1,481
1088,946,Undirected,1,482
1088,2746,Undirected,1,483
1088,4760,Undirected,1,484
1088,1360,Undirected,1,485
1088,1400,Undirected,1,486
1088,258,Undirected,1,487
1088,1816,Undirected,1,488
1088,1817,Undirected,1,489
1088,1375,Undirected,1,490
1088,1376,Undirected,1,491
1088,1137,Undirected,1,492
1088,54,Undirected,1,493
1088,37,Undirected,1,494
1088,5350,Undirected,1,495
1217,13777,Undirected,1,496
1217,19401,Undirected,1,497
1217,7738,Undirected,1,498
1217,8156,Undirected,1,499
1217,8852,Undirected,2,500
1217,296,Undirected,1,501
1217,4913,Undirected,1,502
1217,24911,Undirected,1,503
1217,2814,Undirected,1,504
1217,13405,Undirected,1,505
1217,5859,Undirected,1,506
1217,14506,Undirected,1,507
1217,15471,Undirected,1,508
1217,15472,Undirected,1,509
1217,15473,Undirected,1,510
1217,13864,Undirected,1,511
1217,1884,Undirected,1,512
1217,2377,Undirected,1,513
1217,3056,Undirected,1,514
1217,13224,Undirected,1,515
1217,13595,Undirected,1,516
1217,1686,Undirected,1,517
1217,2153,Undirected,1,518
1217,238,Undirected,1,519
1217,2746,Undirected,1,520
1217,3723,Undirected,1,521
1217,7017,Undirected,1,522
1217,7873,Undirected,1,523
1217,9799,Undirected,1,524
1217,990,Undirected,1,525
1217,12338,Undirected,1,526
1217,1407,Undirected,1,527
1217,1643,Undirected,1,528
1217,3769,Undirected,1,529
1217,4390,Undirected,1,530
1217,8718,Undirected,1,531
1217,2181,Undirected,1,532
1217,2206,Undirected,1,533
1217,8765,Undirected,1,534
1217,9627,Undirected,1,535
1217,9628,Undirected,1,536
1217,9629,Undirected,1,537
1217,6603,Undirected,1,538
1217,5579,Undirected,1,539
1217,861,Undirected,1,540
1217,2380,Undirected,1,541
1217,2381,Undirected,1,542
1217,424,Undirected,1,543
13777,19401,Undirected,1,544
13777,7738,Undirected,1,545
13777,8156,Undirected,1,546
13777,8852,Undirected,1,547
13777,2242,Undirected,1,548
13777,23437,Undirected,1,549
13777,23674,Undirected,1,550
13777,23721,Undirected,1,551
13777,23856,Undirected,1,552
13777,24815,Undirected,1,553
13777,30970,Undirected,1,554
13777,33958,Undirected,1,555
13777,34357,Undirected,1,556
13777,35376,Undirected,1,557
13777,35685,Undirected,1,558
13777,35686,Undirected,1,559
13777,25476,Undirected,1,560
13777,32961,Undirected,1,561
13777,3428,Undirected,2,562
13777,34818,Undirected,1,563
13777,4165,Undirected,1,564
13777,56,Undirected,1,565
13777,27372,Undirected,1,566
13777,31284,Undirected,1,567
13777,6331,Undirected,1,568
13777,9482,Undirected,1,569
13777,29300,Undirected,1,570
13777,13778,Undirected,2,571
13777,20227,Undirected,1,572
13777,27152,Undirected,1,573
13777,27153,Undirected,1,574
13777,28091,Undirected,1,575
13777,28092,Undirected,1,576
13777,28093,Undirected,1,577
13777,21391,Undirected,1,578
13777,2560,Undirected,1,579
13777,2932,Undirected,1,580
13777,5017,Undirected,1,581
13777,603,Undirected,1,582
13777,7996,Undirected,1,583
13777,14092,Undirected,1,584
13777,14093,Undirected,1,585
13777,860,Undirected,1,586
19401,7738,Undirected,1,587
19401,8156,Undirected,1,588
19401,8852,Undirected,1,589
19401,26873,Undirected,1,590
19401,8116,Undirected,1,591
7738,8156,Undirected,1,592
7738,8852,Undirected,1,593
8156,8852,Undirected,1,594
8156,8157,Undirected,1,595
8156,8158,Undirected,1,596
1436,21860,Undirected,1,597
1436,25546,Undirected,1,598
1436,27963,Undirected,1,599
1436,33839,Undirected,1,600
1436,3930,Undirected,1,601
1436,4488,Undirected,1,602
1436,585,Undirected,1,603
1436,84,Undirected,1,604
1436,9616,Undirected,2,605
1436,32555,Undirected,1,606
1436,14806,Undirected,1,607
1436,30229,Undirected,1,608
1436,2412,Undirected,1,609
1436,17978,Undirected,1,610
1436,5387,Undirected,1,611
1436,1544,Undirected,1,612
1436,4760,Undirected,1,613
21860,25546,Undirected,1,614
21860,27963,Undirected,1,615
21860,33839,Undirected,1,616
21860,3930,Undirected,1,617
21860,4488,Undirected,1,618
21860,585,Undirected,1,619
21860,84,Undirected,1,620
21860,9616,Undirected,1,621
25546,27963,Undirected,1,622
25546,33839,Undirected,1,623
25546,3930,Undirected,1,624
25546,4488,Undirected,1,625
25546,585,Undirected,1,626
25546,84,Undirected,1,627
25546,9616,Undirected,1,628
25546,296,Undirected,1,629
25546,37,Undirected,1,630
25546,821,Undirected,1,631
27963,33839,Undirected,1,632
