Source,Target,Type,Weight,Label
2282,23509,Undirected,2,42
2282,307,Undirected,1,42
14662,307,Undirected,1,42
307,5350,Undirected,3,42
307,361,Undirected,1,42
307,4797,Undirected,2,42
25415,361,Undirected,1,42
25415,8466,Undirected,1,42
6963,9809,Undirected,1,42
23509,6963,Undirected,1,42
23509,9319,Undirected,1,42
2840,307,Undirected,2,42
2840,5350,Undirected,2,42
2840,3413,Undirected,1,42
2840,4797,Undirected,1,42
361,8466,Undirected,1,42
361,6963,Undirected,4,42
361,5350,Undirected,1,42
361,4797,Undirected,1,42
361,4505,Undirected,1,42
18746,2840,Undirected,5,42
18746,307,Undirected,2,42
18746,5350,Undirected,2,42
18746,3413,Undirected,1,42
18746,4797,Undirected,1,42
17692,4549,Undirected,1,42
17692,23509,Undirected,1,42
17692,2746,Undirected,1,42
17692,6963,Undirected,2,42
1139,2678,Undirected,1,42
1139,4549,Undirected,2,42
1139,18746,Undirected,1,42
1139,2840,Undirected,2,42
1139,3413,Undirected,1,42
1139,4797,Undirected,2,42
1139,9319,Undirected,1,42
1139,5350,Undirected,1,42
21353,2678,Undirected,1,42
21353,4549,Undirected,1,42
16384,17408,Undirected,1,42
17408,25415,Undirected,2,42
17408,361,Undirected,1,42
17408,8466,Undirected,1,42
17408,2282,Undirected,3,42
17408,307,Undirected,1,42
14467,21353,Undirected,1,42
14467,2678,Undirected,1,42
14467,25415,Undirected,1,42
14467,6963,Undirected,2,42
3413,4797,Undirected,1,42
2678,4797,Undirected,1,42
4797,5350,Undirected,3,42
2688,361,Undirected,1,42
2688,6963,Undirected,1,42
2688,2746,Undirected,1,42
13852,2688,Undirected,1,42
2226,361,Undirected,1,42
1813,25415,Undirected,1,42
1813,4505,Undirected,1,42
1813,307,Undirected,1,42
1813,6437,Undirected,1,42
4505,9319,Undirected,1,42
5350,6963,Undirected,2,42
1360,4505,Undirected,1,42
1360,307,Undirected,1,42
1360,9809,Undirected,1,42
1360,6437,Undirected,2,42
1360,2840,Undirected,1,42
6437,8226,Undirected,1,42
6437,9809,Undirected,1,42
4229,6437,Undirected,1,42
4229,8226,Undirected,1,42
4229,9809,Undirected,1,42
8226,9809,Undirected,1,42
8187,9862,Undirected,1,42
8187,9864,Undirected,1,42
8187,9872,Undirected,1,42
7760,8187,Undirected,1,42
7760,9862,Undirected,2,42
7760,9864,Undirected,2,42
7760,9872,Undirected,2,42
7760,9346,Undirected,1,42
7760,9819,Undirected,1,42
9819,9862,Undirected,1,42
9819,9864,Undirected,1,42
9819,9872,Undirected,1,42
9862,9864,Undirected,2,42
9862,9872,Undirected,2,42
9864,9872,Undirected,2,42
9346,9819,Undirected,1,42
9346,9862,Undirected,1,42
9346,9864,Undirected,1,42
9346,9872,Undirected,1,42
