年,個数
1941,1
1942,0
1943,1
1944,0
1945,1
1946,0
1947,0
1948,1
1949,0
1950,3
1951,2
1952,1
1953,2
1954,4
1955,1
1956,1
1957,1
1958,42
1959,49
1960,50
1961,42
1962,45
1963,38
1964,41
1965,42
1966,41
1967,41
1968,37
1969,40
1970,40
1971,31
1972,20
1973,6
1974,7
1975,1
1976,1
1977,0
1978,0
1979,0
1980,0
1981,2
1982,1
1983,2
1984,0
1985,0
1986,0
1987,1
1988,0
1989,0
1990,0
1991,0
1992,5
1993,1
1994,2
1995,3
1996,0
1997,3
1998,2
1999,1
2000,1
2001,3
2002,43
2003,119
2004,140
2005,118
2006,225
2007,292
2008,377
2009,357
2010,408
2011,366
2012,396
2013,358
2014,368
2015,335
2016,379
2017,351
2018,327
2019,256
2020,219
2021,52
