平均次数,エッジの個数
82.71089904947965,2175542
次数,個数
1,280
2,453
3,731
4,1219
5,1109
6,817
7,929
8,863
9,895
10,1057
11,938
12,1046
13,1032
14,1072
15,1158
16,1173
17,1181
18,1056
19,1131
20,999
21,921
22,1010
23,951
24,791
25,874
26,905
27,836
28,857
29,667
30,639
31,738
32,593
33,624
34,569
35,500
36,607
37,444
38,386
39,432
40,398
41,433
42,283
43,351
44,332
45,363
46,356
47,295
48,309
49,242
50,303
51,296
52,223
53,259
54,367
55,267
56,289
57,182
58,227
59,171
60,193
61,166
62,111
63,149
64,208
65,128
66,162
67,160
68,213
69,159
70,133
71,99
72,138
73,104
74,100
75,135
76,140
77,175
78,203
79,124
80,92
81,98
82,99
83,156
84,77
85,144
86,193
87,119
88,204
89,72
90,159
91,69
92,77
93,70
94,142
95,86
96,211
97,120
98,162
99,127
100,58
101,128
102,135
103,65
104,59
105,55
106,62
107,60
108,55
109,126
110,74
111,57
112,43
113,110
114,55
115,55
116,63
117,43
118,47
119,49
120,50
121,46
122,134
123,44
124,46
125,42
126,47
127,52
128,112
129,45
130,58
131,33
132,45
133,49
134,30
135,48
136,47
137,35
138,140
139,44
140,37
141,41
142,35
143,35
144,35
145,33
146,36
147,37
148,33
149,38
150,35
151,28
152,104
153,37
154,36
155,30
156,25
157,36
158,35
159,37
160,36
161,30
162,26
163,30
164,35
165,34
166,35
167,15
168,28
169,28
170,29
171,26
172,20
173,19
174,30
175,23
176,38
177,26
178,31
179,27
180,22
181,27
182,22
183,30
184,27
185,19
186,22
187,22
188,25
189,22
190,12
191,29
192,33
193,25
194,27
195,32
196,21
197,18
198,23
199,26
200,176
201,19
202,16
203,16
204,25
205,26
206,26
207,16
208,135
209,23
210,23
211,15
212,16
213,16
214,22
215,19
216,14
217,17
218,19
219,16
220,18
221,21
222,15
223,19
224,11
225,10
226,20
227,12
228,12
229,20
230,23
231,228
232,17
233,20
234,25
235,24
236,23
237,14
238,13
239,20
240,14
241,20
242,16
243,20
244,18
245,16
246,17
247,19
248,17
249,16
250,16
251,19
252,19
253,19
254,16
255,17
256,19
257,16
258,15
259,8
260,15
261,15
262,10
263,7
264,17
265,13
266,10
267,8
268,15
269,16
270,10
271,11
272,19
273,17
274,9
275,12
276,19
277,10
278,16
279,16
280,12
281,18
282,7
283,9
284,9
285,10
286,8
287,11
288,18
289,11
290,17
291,13
292,5
293,19
294,16
295,7
296,8
297,4
298,10
299,10
300,7
301,7
302,12
303,16
304,14
305,8
306,11
307,9
308,9
309,11
310,4
311,7
312,5
313,5
314,8
315,12
316,8
317,9
318,15
319,5
320,5
321,12
322,15
323,15
324,12
325,6
326,6
327,9
328,12
329,10
330,11
331,8
332,5
333,7
334,12
335,6
336,6
337,8
338,12
339,15
340,10
341,10
342,14
343,9
344,8
345,8
346,6
347,3
348,5
349,6
350,8
351,6
352,6
353,6
354,5
355,8
356,13
357,11
358,11
359,2
360,13
361,4
362,7
363,7
364,7
365,5
366,9
367,4
368,6
369,3
370,6
371,8
372,4
373,6
374,5
375,9
376,8
377,9
378,12
379,3
380,6
381,5
382,7
383,9
384,4
385,12
386,7
387,6
388,5
389,6
390,5
391,9
392,6
393,14
394,5
395,3
396,4
397,9
398,5
399,11
400,14
401,4
402,10
403,6
404,4
405,9
406,5
407,5
408,3
409,4
410,5
411,7
412,8
413,4
414,9
415,8
416,4
417,7
418,2
419,2
420,5
421,7
422,6
423,7
424,6
425,6
426,6
427,5
428,8
429,4
430,4
431,7
432,4
433,6
434,6
435,1
436,2
437,6
438,5
439,10
440,9
441,1
442,5
443,4
444,7
445,6
446,5
447,5
448,7
449,4
450,4
451,6
452,5
453,4
454,3
455,2
456,2
457,8
458,7
459,5
460,6
461,6
462,5
463,3
