releaseDate,title,revenue
2004-11,ハウルの動く城,196
2005-7,劇場版ポケットモンスター アドバンスジェネレーション ミュウと波導の勇者ルカリオ,43
2005-5,交渉人　真下正義,42
2005-9,ＮＡＮＡ,40.3
2005-8,容疑者　室井慎次,38.3
2005-6,電車男,37
2005-11,ＡＬＷＡＹＳ　三丁目の夕日,32.3
2005-1,北の零年 ,27
2005-3,ローレライ,24
2005-7,星になった少年　Shining Boy & Little Randy,23
2005-4,名探偵コナン　水平線上の陰謀（ストラテジー）,21.5
2005-7,亡国のイージス,20.6
2005-8,妖怪大戦争,20
2005-6,戦国自衛隊１５４９,17.1
2005-1,東京タワー,16.3
2005-9,ＳＨＩＮＯＢＩ ,14.1
2005-10,蝉しぐれ,14
2005-4,クレヨンしんちゃん　伝説を呼ぶブリブリ3分ポッキリ大進撃,13
2005-10,春の雪,12.7
2004-12,ゴジラ　ＦＩＮＡＬ　ＷＡＲＳ,12.6
2005-7,劇場版　鋼の錬金術師　シャンバラを征く者,12.2
2005-3,ワンピース　THE MOVIE　オマツリ男爵と秘密の島,12
2005-9,タッチ,12
2005-8,劇場版ＮＡＲＵＴＯ　大激突！幻の地底遺跡だってばよ,11.8
2005-9,劇場版 仮面ライダーヒビキと７人の戦鬼　魔法戦隊マジレンジャーTHE MOVIE　インフェルシアの花嫁,11
2005-2,着信アリ２,10.1
